"","time","name","Rexp","BestExp"
"1","9/9/15 15:28","Sally Schooler","Adult (your wings will take you anywhere)","Adult (your wings will take you anywhere)"
"2","9/9/15 16:07","Linnea Llamas","1st - 5th Instar (developing)","1st - 5th Instar (developing)"
"3","9/9/15 16:09","Ramiro Rossignol","Pupa (almost ready, but still can't fly)","Pupa (almost ready, but still can't fly)"
"4","9/9/15 16:09","Raphael Riggins","Egg (not hatched yet)","1st - 5th Instar (developing)"
"5","9/9/15 16:10","Saturnina Silvernail","1st - 5th Instar (developing)","1st - 5th Instar (developing)"
"6","9/9/15 16:14","Meredith Mcphatter","Egg (not hatched yet)","Egg (not hatched yet)"
"7","9/9/15 16:16","Twanda Trew","1st - 5th Instar (developing)","Egg (not hatched yet)"
"8","9/9/15 16:16","Tiffaney Turney","Egg (not hatched yet)","Egg (not hatched yet)"
"9","9/9/15 16:17","Na Neumeister","Egg (not hatched yet)","Egg (not hatched yet)"
"10","9/9/15 16:36","Carylon Cutts","1st - 5th Instar (developing)","Slightly Senile (should be able to pick things back up pretty quick though) "
"11","9/9/15 16:49","Ema Earnshaw","1st - 5th Instar (developing)","1st - 5th Instar (developing)"
"12","9/9/15 16:53","Maryjane Manville","1st - 5th Instar (developing)","little bit of python, fair amount of web"
"13","9/9/15 16:59","Latoria Liberty","1st - 5th Instar (developing)","Adult (your wings will take you anywhere)"
"14","9/9/15 19:12","Cecile Casimir","1st - 5th Instar (developing)","1st - 5th Instar (developing)"
"15","9/9/15 21:18","Jina Jaggers","Egg (not hatched yet)","Egg (not hatched yet)"
"16","9/10/15 9:33","Ali Audia","1st - 5th Instar (developing)","Egg (not hatched yet)"
"17","9/10/15 9:37","Tressa Tierney","1st - 5th Instar (developing)","1st - 5th Instar (developing)"
"18","9/10/15 10:14","Micah Mo","Egg (not hatched yet)","Egg (not hatched yet)"
"19","9/10/15 10:46","Wai Webre","1st - 5th Instar (developing)","1st - 5th Instar (developing)"
"20","9/10/15 14:21","Manda Maynez","Egg (not hatched yet)","1st - 5th Instar (developing)"
"21","9/10/15 15:13","Chuck Condie","Egg (not hatched yet)","Egg (not hatched yet)"
"22","9/10/15 16:54","Tammie Trieu","1st - 5th Instar (developing)","1st - 5th Instar (developing)"
"23","9/10/15 17:00","Tristan Tatem","1st - 5th Instar (developing)","Adult (your wings will take you anywhere)"
"24","9/10/15 17:30","Kory Kroger","Egg (not hatched yet)","Egg (not hatched yet)"
"25","9/10/15 20:13","Rodrick Rieder","Pupa (almost ready, but still can't fly)","Pupa (almost ready, but still can't fly)"
"26","9/10/15 21:50","Mariann Melugin","1st - 5th Instar (developing)","1st - 5th Instar (developing)"
"27","9/10/15 23:15","Anton Arceneaux","Egg (not hatched yet)","Egg (not hatched yet)"
"28","9/11/15 0:21","Loretta Lauritsen","1st - 5th Instar (developing)","1st - 5th Instar (developing)"
"29","9/11/15 8:17","Kenyetta Koziol","Pupa (almost ready, but still can't fly)","Pupa (almost ready, but still can't fly)"
"30","9/11/15 9:02","Laurine Luther","Egg (not hatched yet)","Egg (not hatched yet)"
"31","9/11/15 11:54","Marlen Momon","1st - 5th Instar (developing)",""
"32","9/11/15 14:28","Jerri Jardine","Pupa (almost ready, but still can't fly)","1st - 5th Instar (developing)"
"33","9/14/15 8:51","Vertie Vizcarra","1st - 5th Instar (developing)","Adult (your wings will take you anywhere)"
"34","9/14/15 8:51","Rodrigo Rosel","1st - 5th Instar (developing)","1st - 5th Instar (developing)"
"35","9/14/15 9:07","Corie Charters","Adult (your wings will take you anywhere)","Adult (your wings will take you anywhere)"
"36","9/14/15 9:20","Noble Nierman","1st - 5th Instar (developing)","Egg (not hatched yet)"
"37","9/14/15 9:21","Juliane Jenkin","Egg (not hatched yet)","1st - 5th Instar (developing)"
"38","9/14/15 9:29","Shirley Silber","1st - 5th Instar (developing)","Pupa (almost ready, but still can't fly)"
"39","9/14/15 10:04","Rasheeda Royals","1st - 5th Instar (developing)","Pupa (almost ready, but still can't fly)"
"40","9/14/15 10:16","Enriqueta Eggleton","1st - 5th Instar (developing)","1st - 5th Instar (developing)"
"41","9/14/15 12:17","Lindsey Lacy","Egg (not hatched yet)","Egg (not hatched yet)"
"42","9/14/15 12:45","Hank Holliday","Egg (not hatched yet)","Egg (not hatched yet)"
"43","9/14/15 15:06","Loyd Lang","Egg (not hatched yet)","1st - 5th Instar (developing)"
"44","9/14/15 16:49","Viviana Vanderslice","Egg (not hatched yet)","Egg (not hatched yet)"
